PMC_id	activity	plant	plantparts	process	location	
PMC5660901		Results >> The chemical composition of kaffir lime oil: analysis results on kaffir lime oil	Results	Methods >> Fractional distillation: Fractional distillation	Methods >> Material and instrument: Ngunut, Tulungagung, East Java	
PMC5661929	Materials and methods >> Plant collection	Materials and methods >> Plant collection: P. tobira	Materials and methods >> Plant collection: seeds	Materials and methods  >> Hydrodistillation (HD): Hydrodistillation	Materials and methods >> Plant collection : southwestern Tunisia	
PMC5661929	Materials and methods >>Antioxidant activity >> DPPH radical scavenging activity:			Materials and methods >>Headspace- solid phase microextraction (HS-SPME)		
PMC5661929	Materials and methods >>Oxidative hemolysis inhibition assay:					
PMC5661929	Results and discussion >>  Antioxidant activities : Antioxidant	Results and discussion >> P. tobira	Results and discussion >> seeds		Results and discussion	
PMC5661929		Phytochemical analysis >> P. tobira	Phytochemical analysis >> seeds			
PMC5668225		Experimental >> Materials: Citrus bergamia		Results and discussion >> distilled	Results and discussion >>  distilled	
PMC5669080	MATERIALS AND METHODS >> Evaluation of antimicrobial activity: antibiotic	MATERIALS AND METHODS >> Plant material : F. tingitana L.	MATERIALS AND METHODS >> Plant material:  flower and leaves	MATERIALS AND METHODS >> Preparation, characterization, and analysis of the essential oil: hydrodistillation	MATERIALS AND METHODS >> Plant material: Tripoli	
PMC5669080	MATERIALS AND METHODS >> Evaluation of cytotoxic activity:  cytotoxicity	RESULTS: F. tingitana	RESULTS: flower and leaves		RESULTS: hydrodistillation	
PMC5669111	MATERIALS AND METHODS >> Extraction/isolation of essential oil: Air-dried bark, hydrodistillation	MATERIALS AND METHODS >> Plant material:C. zeylanicum	MATERIALS AND METHODS >> Plant material:bark	MATERIALS AND METHODS >> Plant material:	MATERIALS AND METHODS >> Plant material: Jiroft district (Kerman, Iran)	
PMC5674267	Radioprotection by medicinal aromatic plants >> Ageratum conyzoides:  radioprotective effects	Radioprotection by medicinal aromatic plants >> Ageratum conyzoides:  Ageratum conyzoides				
PMC5674267	Radioprotection by medicinal aromatic plants >> Allium cepa: antioxidant, antihyperglycemic, antihypertentive and anti-asthamatic	Radioprotection by medicinal aromatic plants >>Allium cepa:Allium cepa	Radioprotection by medicinal aromatic plants >>Allium cepa:  bulb		Radioprotection by medicinal aromatic plants>> Allium cepa: India, China and the US	
PMC5674267	Radioprotection by medicinal aromatic plants >> Allium sativum: radioprotective	Radioprotection by medicinal aromatic plants >> Allium sativum: Allium sativum			Radioprotection by medicinal aromatic plants >> Allium sativum: India, China and Korea	
PMC5674267	Radioprotection by medicinal aromatic plants >> Capsicum annuum:  radioprotective effects	Radioprotection by medicinal aromatic plants >> Capsicum annuum:	Radioprotection by medicinal aromatic plants >> Capsicum annuum: fruit		Radioprotection by medicinal aromatic plants >> southern North America and northern South America	
PMC5674267	Radioprotection by medicinal aromatic plants >> Centella asiatica: against radiation to DNA as well as membranes, antioxidant.	Radioprotection by medicinal aromatic plants >> Centella asiatica:  Centella asiatica	Radioprotection by medicinal aromatic plants >> Centella asiatica: leaves			
PMC5674267	Radioprotection by medicinal aromatic plants >> Citrus aurantium:antianxiety, antioxidant  and motor relaxant effects	Radioprotection by medicinal aromatic plants >>Citrus aurantium :	Radioprotection by medicinal aromatic plants >> Citrus aurantium : leaves and fruits		Radioprotection by medicinal aromatic plants >>Citrus aurantium :	
PMC5674267	Radioprotection by medicinal aromatic plants >> Coleus aromaticus:	Radioprotection by medicinal aromatic plants >> Coleus aromaticus:	Radioprotection by medicinal aromatic plants >> Coleus aromaticus:		Radioprotection by medicinal aromatic plants >> Coleus aromaticus:	
PMC5674267	Radioprotection by medicinal aromatic plants >>Coriandrum sativum	Radioprotection by medicinal aromatic plants >>Coriandrum sativum	Radioprotection by medicinal aromatic plants >>Coriandrum sativum		Radioprotection by medicinal aromatic plants >>Coriandrum sativum	
PMC5674267	Radioprotection by medicinal aromatic plants >>Crocus sativus	Radioprotection by medicinal aromatic plants >>Crocus sativus	Radioprotection by medicinal aromatic plants >>Crocus sativus		Radioprotection by medicinal aromatic plants >>Crocus sativus	
PMC5674267	Radioprotection by medicinal aromatic plants >>Curcuma longa:	Radioprotection by medicinal aromatic plants >>Curcuma longa:	Radioprotection by medicinal aromatic plants >>Curcuma longa:		Radioprotection by medicinal aromatic plants >>Curcuma longa:	
PMC5684592	Materials and Methods	Materials and Methods >> Preparation of Essential Oils : rosemary	Materials and Methods >> Preparation of Essential Oils :		Materials and Methods >> Preparation of Essential Oils : Beijing, China	
PMC5684592		Materials and Methods >> Preparation of Essential Oils : peppermint			Materials and Methods >> Preparation of Essential Oils : France and Spain	
PMC5684592		Materials and Methods >> Preparation of Essential Oils :rosemary			Materials and Methods >> Preparation of Essential Oils :rosemary: US and Australia	
PMC5684592		Materials and Methods >> Preparation of Essential Oils : clove			Materials and Methods >> Preparation of Essential Oils : Madagascar	
PMC5684592		Materials and Methods >> Preparation of Essential Oils : Citrus sinensis	Materials and Methods >> Preparation of Essential Oils :  peel			
PMC5684592		Materials and Methods >> Preparation of Essential Oils : Syzygium aromaticum	Materials and Methods >> Preparation of Essential Oils :bud			
PMC5684592		Materials and Methods >> Preparation of Essential Oils :Rosmarinus officinalis	Materials and Methods >> Preparation of Essential Oils :flower and leaf			
PMC5694497		Materials and Methods >> Plant Material: V. capitata, V. megapotamica, V. gardneriana, and V. rufescens	Materials and Methods >> Plant Material: Leaves	Materials and Methods >>Essential Oil Isolation Procedure: fresh leaves, hydrodistillation	Materials and Methods >> Plant Material:  northeast of Brazil	
PMC5694497		Results :  V. capitata, V. megapotamica, V. gardneriana and V. rufescens	Results :  leaves			Results :  Brazil
PMC5694587	Bioactivity of Plant EOs and Their Single Components:	History of Plant Essential Oils: Egyptians : lavender, peppermint, and myrrh		Chemical Composition of Plant Essential Oils:  steam distillation, solvent extraction, soxhlet extraction, microwave-assisted hydrodistillation, dynamic headspace, static headspace, solvent flavor evaporation, solid-phase microextraction	History of Plant Essential Oils: Egyptians , Chinese	
PMC5694587	Factors Affecting the Bioactivity of EOs Composition: antimicrobial	Common Mediterranean Aromatic Plants >> Family Lamiaceae >> Lavender				
PMC5694587		Common Mediterranean Aromatic Plants >> Family Lamiaceae >>Oregano				
PMC5694587		Common Mediterranean Aromatic Plants >> Family Lamiaceae >> Thymus				
PMC5694587		Common Mediterranean Aromatic Plants >> Family Lamiaceae >> Peppermint				
PMC5694587		Common Mediterranean Aromatic Plants >> Family Lamiaceae >> Sage				
PMC5694587		Common Mediterranean Aromatic Plants >> Family Lamiaceae >>Marjoram				
PMC5694587		Common Mediterranean Aromatic Plants >> Family Apiaceae >> Anise				
PMC5694587		Common Mediterranean Aromatic Plants >> Family Apiaceae >> Caraway				
PMC5694587		Family Rutaceae >> Lemon				
PMC5694587		Family Verbenaceae >> Vervain				
PMC5694587	Medical Uses of Essential Oils in Human Diseases :  anti-inflammatory, antioxidant, and anticarcinogenic					
PMC5694587	Medical Uses of Essential Oils in Human Diseases >> Pharmacological Activity: antiseptic					
PMC5694587	Medical Uses of Essential Oils in Human Diseases >> Pharmacological Activity>> Anti-Inflammatory:					
PMC5694587	Medical Uses of Essential Oils in Human Diseases >> Pharmacological Activity>>Antioxidant:					
PMC5694587	Medical Uses of Essential Oils in Human Diseases >> Pharmacological Activity>>Anticarcinogenic: Anticarcinogenic					
PMC5694587	Medical Uses of Essential Oils in Human Diseases >> Pharmacological Activity>> Antimicrobial Activity>> Antibacterial					
PMC5694587	Medical Uses of Essential Oils in Human Diseases >> Pharmacological Activity>> Antimicrobial Activity>> Antifungal					
PMC5694611	Materials and Methods >> Antioxidant Activity	Materials and Methods >> Collection and Preparing Plant Materials:  R. chalepensis	Materials and Methods >> Collection and Preparing Plant Materials: leaves		Materials and Methods >> Collection and Preparing Plant Materials:  Palestine	
PMC5694611	Materials and Methods >> Antimicrobial Evaluation			Materials and Methods >> Essential Oils Extraction : microwave-ultrasonic		
PMC5694611	Results >> Antioxidant Property					
PMC5694611	Results >> Antimicrobial Activity					
PMC5694875		MATERIALS AND METHODS >> Sample collection and preparation: conophor nuts			MATERIALS AND METHODS >> Sample collection and preparation: Nigeria	
PMC5694991	Results and Discussion >> Chemical Characters:  antioxidant	Materials and Methods >> Plant Material:  cumin	Materials and Methods >> Plant Material: landraces seeds		Materials and Methods >> Plant Material: Iranian	
PMC5699893						
PMC5702407	Materials and Methods >> Antioxidant Activity >> DPPH Free Radical-Scavenging Activity >>	Materials and Methods >> Crop Experimental Design: M. suaveolens subsp. timija 	Materials and Methods >> Crop Experimental Design: stem cuttings	Materials and Methods >> EO Extraction: air-dried	Materials and Methods >>  Crop Experimental Design: Marrakech region	
PMC5702407	Materials and Methods >> Antioxidant Activity >> Insecticidal Activity	Results and Discussion >> EO Content and Chemical Composition : M. suaveolens subsp. timija	Results and Discussion >> EO Content and Chemical Composition : aerial parts			
PMC5702407	Results and Discussion >> Antioxidant Activity: antioxidant					
PMC5702407	Results and Discussion >>Insecticidal Activity: Insecticidal					
PMC5702920	Results and Discussion >> Formulation Descriptions: antinociceptive and sedative activities				Results and Discussion >> Formulation Descriptions	
PMC5702920		Materials and Methods >> Chemicals and Drugs: oleoresins		Materials and Methods >> Chemicals and Drugs: hydrodistillation		
PMC5717781	BIOLOGICAL EFFECTS OF ECHINOPHORA GENUS >>Traditional medicine>>antifungal activity, antifungal, and antimicrobial	BOTANY >> Botany of Echinophora genus : E. platyloba and E. cinerea, E. sibthorpiana and E. orientalis,	BOTANY >> Botany of Echinophora genus :		BOTANY >> Botany of Echinophora genus :  Anatolia, Armenia, Russia, Turkmenistan, Afghanistan, Peninsula Balkans, Crete, Cyprus, and Syria, in addition to Iran	
PMC5717781	BIOLOGICAL EFFECTS OF ECHINOPHORA GENUS >> Modern medicine >> Pharmacological effects of Echinophora Cinerea: Antioxidant effects and antibacterial activity	BOTANY >> The botany of Umbelliferae or Apiaceae family: Umbelliferae or Apiaceae species	BOTANY >> The botany of Umbelliferae or Apiaceae family: flowers			
PMC5717781	BIOLOGICAL EFFECTS OF ECHINOPHORA GENUS >> Pharmacological effects of Echinophora orientalis: antioxidant properties	BOTANY >> Botany of Echinophora platyloba	BOTANY >> Botany of Echinophora platyloba: leaves, leaflets, flowers			
PMC5717781	BIOLOGICAL EFFECTS OF ECHINOPHORA GENUS >>  antioxidant activity >> Pharmacological effects of Echinophora platyloba: anticancer, antimutation	BOTANY >> Botany of Echinophora sibthorpiana	BOTANY >> Botany of Echinophora sibthorpiana: stems, leaves, fruit			
PMC5717781		BOTANY >> Botany of Echinophora orientalis	BOTANY >> Botany of Echinophora orientalis: stems, branches, flowers,			
PMC5717781		BOTANY >> Botany of Echinophora cinerea	BOTANY >> Botany of Echinophora cinerea: stems,  branches, leaves			
PMC5717781		THE GEOGRAPHICAL DISTRIBUTION OF ECHINOPHORA GENUS IN IRAN: E. platyloba, E. sibthorpiana, E. orientalis, E. cinerea			THE GEOGRAPHICAL DISTRIBUTION OF ECHINOPHORA GENUS IN IRAN: Alborz: Damavand, Ab Ali, West: Arak, Mahallat between Bagher Abad and Chehel Cheshmeh, Tangeh Badam, Bakhtaran, Fars: Servant, Kherameh, Deh Sheikh, East: Torbat-e Heydarieh, Robat Sefid and Neyshabur, Chaharmahal va Bakhtiari: Tange Sayad protected area, Ardal, Plain Dinarun, Shahr-e kord, Sureshjan, and from Harouni to Karsang.	
PMC5717781	CHEMICAL RELATIONS OF COMPOUNDS AND BIOLOGICAL EFFECT : antioxidant ,	SECONDARY METABOLITES OF ECHINOPHORA GENUS >>Essential oil: E. cinerea				
PMC5723952		Experimental >> Collection of the Plant Material: Rudbeckia triloba	Experimental >> Collection of the Plant Material: inflorescences, petals, leaves, and seeds	Experimental >>Preparation of Plant Extracts: hydroalcoholic extract	Experimental >> Collection of the Plant Material: Bucharest, Romania	
PMC5723952	Results and Discussion >> Free Radical Scavenging Activity: antioxidant	Results and Discussion >> Essential Oil Yield: Rudbeckia triloba				
PMC5725564		MATERIALS AND METHODS>>Collection of Samples: Haematostaphis barteri	MATERIALS AND METHODS>>Collection of Samples: fruits		MATERIALS AND METHODS >> Collection of Samples:Taraba State, Nigeria	
PMC5725564		RESULTS AND DISCUSSION: H. barteri	MATERIALS AND METHODS>>Preparation of Samples: fruits			
PMC5725564			RESULTS AND DISCUSSION: pulp and seed			
PMC5725564						
PMC5735349	Materials and Methods	Materials and Methods >> Extraction of essential oil from the leaves of L. erythrocarpa: L. erythrocarpa	Materials and Methods >> Extraction of essential oil from the leaves of L. erythrocarpa: Leaves	Materials and Methods >> Extraction of essential oil from the leaves of L. erythrocarpa:hydrodistillation.	Materials and Methods >> Extraction of essential oil from the leaves of L. erythrocarpa: a region in Jeju Island, Korea	
PMC5735349	Results >>    Chemical composition and cytotoxicity of LEO: cytotoxicity					
PMC5736702						
PMC5742650		Materials and Methods >>    Material : rosemary ( Rosmarinus officinalisL.)	Materials and Methods >>    Material: Leaves	Materials and Methods >>    Material:  dried in shade	Materials and Methods >>    Material: Arak and Isfahan	
PMC5742650			Results >> Effect of extraction methods on the essential oil efficiency: aerial parts	Materials and Methods >>   Hydro-Distillation (HD) apparatus and procedure: hydro-distillation		
PMC5742650				Materials and Methods >>  Microwave-Assisted Hydro-Distillation (MAHD) apparatus and procedure: Microwave hydro-distillation		
PMC5745743	Methods	Methods >> Plant material and sample preparation: O. fragrans var. thunbergii	Methods >> Plant material and sample preparation	Methods >> Plant material and sample preparation	Methods >> Plant material and sample preparation	
PMC5745743	Results >>   Potential anti-tumor effect of O. fragrans Var. thunbergii essential oil:  tumor-inhibiting	Results >>    Chemical composition of O. fragrans Var. thunbergii essential oil : O. fragrans var. thunbergii	Results >>    Chemical composition of O. fragrans Var. thunbergii essential oil :  flowers	Results >>    Chemical composition of O. fragrans Var. thunbergii essential oil	Results >>    Chemical composition of O. fragrans Var. thunbergii essential oil	
PMC5745743	Results >> Potential neuroprotective effect of O. fragrans Var. thunbergii essential oil : neuroactive					
PMC5746745				Results >> GC/MS Analysis: chloroform extracts		
PMC5746745		Materials and Methods >> Plant Material: Lavandula latifolia	Materials and Methods >> Plant Material: mature seeds, seedlings	Materials and Methods >> Essential Oil Extraction from Labelled Material: leaf, chloroform-extract	Materials and Methods >> Plant Material: (Valencia, Spain)	
PMC5747963	Materials and methods	Materials and methods >> Materials : soybean , eucalyptus globulus oil , rosemary oil , olive oil			Materials and methods >> Materials: Italy	
PMC5747963	Methods >> In vitro biocompatibility >> Cytotoxicity test : Cytotoxicity	Methods				
PMC5747963	Methods >>  In vitro biocompatibility >> Cell migration/proliferation assay for wound healing:  wound healing					
PMC5747963	Methods >>  In vitro biocompatibility >> Antimicrobial properties: antimicrobial					
PMC5748641	Results and Discussion : Antimicrobial Activity	Results and Discussion : Niphogeton dissecta	Results and Discussion : aerial parts	Results and Discussion :  steam distillation	Results and Discussion	
PMC5748641	Results and Discussion >> Cholinesterase Inhibition Test: selectivity for the inhibition of BChE					
PMC5748641	Materials and Methods >> Antimicrobial Activity : Antimicrobial	Materials and Methods >> Plant Material : Niphogeton dissecta	Materials and Methods >> Plant Material: aerial parts	Materials and Methods >> Extraction of Essential Oil: steam distillation	Materials and Methods >> Plant Material : Ecuador	
PMC5750594	Materials and Methods >> Antifungal Screening: Antifungal	Materials and Methods >> Essential Oil : P. amazonicum		Materials and Methods >> Essential Oil: hydrodistillation	Materials and Methods >> Essential Oil :  Quito, Ecuador	
PMC5750594	Results and Discussion >> Antifungal Activity: antifungal activity					
PMC5750605	Material and Methods >> Antioxidant Activity: antioxidant property	Material and Methods >> Plant Material: A. calamus	Material and Methods >> Plant Material: leaves	Material and Methods >> Extraction of Essential Oils: hydro-distillation	Material and Methods >> Plant Material: Uttarakhand Himalayas in India	
PMC5750605	Material and Methods >> Antioxidant Activity >> DPPH Radical Scavenging Activity: scavenging ability of the antioxidants					
PMC5750605	Material and Methods >> Antioxidant Activity >> Metal Chelating Activity: chelating ability					
PMC5750605	Results and Discussion >> hydro distilled	Results and Discussion	Results and Discussion	Results and Discussion >> hydro distilled	Results and Discussion	
PMC5750605	Results and Discussion >> antioxidant	Results and Discussion >> A. calamus				
PMC5750654		Materials and Methods >>  Materials : Rosemary oil			Materials and Methods >> Materials :  Catania, Italy	
PMC5751248						
PMC5761127		Methods >> Plant material: M. piperita L.	Methods >> Plant material:  Fresh leaves	Methods >> Essential oil preparation: steam distillation, hydrodistillated	Methods >> Plant material: Tunisia	
PMC5761127	Methods>> Measurement of free radical-scavenging action: free radicals scavenging activity					
PMC5761127	Results >> Essential oil antioxidant activity : antioxidant					
PMC5772139						
PMC5778200		MATERIALS AND METHODS : Black cumin	MATERIALS AND METHODS: seeds	MATERIALS AND METHODS >> Sample preparation and oil extraction: microwave-distillation	MATERIALS AND METHODS: Golestan, Iran	
PMC5778200		MATERIALS AND METHODS >> Sample preparation and oil extraction : Black cumin	MATERIALS AND METHODS >> Sample preparation and oil extraction : seeds			
PMC5778779	Methods >> Antibacterial activities:	Methods >> Plant material: Corymbia citriodora	Methods >> Plant material: leaves	Methods >> Extraction of essential oils: hydro-distillated	Methods >> Plant material: Egypt)	
PMC5778779	Methods >> Antifungal activities:	Methods >> Extraction of essential oils: C. citriodora, C. macrocarpa				
PMC5778779	Methods >> Antioxidant activity of the EOs:	Results >> Composition of the EOs :				
PMC5778779	Results >> Antibacterial activity:					
PMC5778779	Results >> Antifungal activity:					
PMC5778779	Results >> Antioxidant activity:					
PMC5788217	Materials and Methods >>   Antimicrobial combination and interaction:	Materials and Methods >> Zataria multiflora Boiss	Materials and Methods : plant	Materials and Methods >>   Essential oil extraction and quantiï¬cation >> hydrodistillation	Materials and Methods >> Iran	
PMC5788217	Materials and Methods >> Biofilm removal					
PMC5788217	Materials and Methods >> Combined sanitizing activity					
PMC5788217	Results >> Antibacterial properties of ZEO and SNP					
PMC5788217	Results >> Synergistic sanitizing activity : antimicrobial					
PMC5789270		Materials and Methods >> Thymus vulgaris, Satureja montana	Materials and Methods	Materials and Methods	Materials and Methods >> Turin, Italy	
PMC5789316	Tocopherol Variability in Almond : hypo-cholesterolemic, anti-cancer, and neuroprotective	Tocopherol Variability in Almond : Almond	Tocopherol Variability in Almond : seedlings		Tocopherol Variability in Almond : Morocco	
PMC5794096	Materials and methods >>  Anti- Trichomonas vaginalis activity assay	Materials and methods >> Red propolis sample collection and essential oil preparation: Red propolis	Materials and methods >> Red propolis sample collection and essential oil preparation	Materials and methods >> Red propolis sample collection and essential oil preparation: hydrodistillation	Materials and methods >> Red propolis sample collection and essential oil preparation: northeastern Brazil	
PMC5794096	Materials and methods >> Cytotoxicity assay					
PMC5794096	Materials and methods >> Adjuvant assay >>  Antigen expression and purification					
PMC5794096	Materials and methods >> Assessment of antibody production					
PMC5795983	Results and Discussion >> Antifungal Activity: antifungal	Results and Discussion >> Yield and Chemical Composition of the Essential Oil: B. salicifolius, Ocimum basilicum, Thymus vulgaris, Eucalyptus citriodora				
PMC5795983	Results and Discussion >>  Antibacterial Activity : Antibacterial activity	Materials and Methods >> Plant Material and Extraction of Essential Oil			Materials and Methods >> Plant Material and Extraction of Essential Oil : Brazil	
PMC5795983	Materials and Methods >> Antifungal Activity					
PMC5795983	Materials and Methods >>  Antibacterial Activity					
PMC5797122	Results >> Nepeta cataria production	Results >> Nepeta cataria production: N. cataria	Results >> Nepeta cataria production	Results >>Essential oil extraction: steam distillation	Results >> Nepeta cataria production:New Jersey	
PMC5797122				Methods >> Steam distillation: air-dried, distillation		
PMC5797122				Methods >> Ultrasound extraction: leaf, Ultrasound probe		
PMC5806308		Methods >> Plant material:  Ocimum micranthum	Methods >> Plant material: Leaves	Methods >> Preparation of essential oil and aqueous extract: hydro-distillation	Methods >> Plant material: Mexico	
PMC5806308				Methods >> Preparation of the ethanolic extract: ethanolic extract		
PMC5807769	Methods >> Chemicals and media	Methods >> Chemicals and media: Cinnamon zeylanicum	Methods >> Chemicals and media: bark	Methods >> Chemicals and media: steam distilled	Methods >> Chemicals and media: Now foods, USA	
PMC5811758	Materials and Methods >> Plant material and preparation of essential oil:	Materials and Methods >> Plant material and preparation of essential oil: P. bashagardiana	Materials and Methods >> Plant material and preparation of essential oil: Fresh fruits	Materials and Methods >> Plant material and preparation of essential oil:  distillation	Materials and Methods >> Plant material and preparation of essential oil: Iran	
PMC5811758	Results >> Antinociceptive activity of PBFEO >> Carrageenan-induced inflammation test:  anti-inflammatory	Results	Results	Results	Results	
PMC5811758	Results >> Cotton pellet-induced inflammation test: anti-inflammatory					
PMC5813356	Methods >> Anti-leishmanial activity: Anti-leishmanial	Methods >> Plant material: H. tuberculatum	Methods >> Plant material	Methods >> Extraction of essential oils: plant parts (leaves and/or stems or roots), hydrodistillation	Methods >> Plant material: Tunisia	
PMC5813356	Results >>  Anti-leishmanial activity	Results >> Chemical profiles of the oils: H. tuberculatum				
PMC5822514	MATERIALS AND METHODS >> Sample preparation: 2,2-Diphenyl-1-picrylhydrazyl free radical-scavenging capacity: radical scavenging	MATERIALS AND METHODS >> Plant material: S. macrostema	MATERIALS AND METHODS >>  Plant material: seeds, aerial parts (leaves and stems)	MATERIALS AND METHODS >> Sample preparation: aerial part, hydrodistillation	MATERIALS AND METHODS >> Plant material:  Mexico	
PMC5822514	MATERIALS AND METHODS >> 2,2â€™-Azinobis-3-ethylbenzothiazoline-6-sulfonic acid cation radical-scavenging capacity : radical scavenging	RESULTS >>Chemical composition of the Satureja macrostema essential oil: S. macrostema	RESULTS >> Chemical composition of the Satureja macrostema essential oil: aerial part	RESULTS >> Chemical composition of the Satureja macrostema essential oil: hydrodistillation		
PMC5822514	MATERIALS AND METHODS >>Total antioxidant activity by phosphomolybdenum method: antioxidant					
PMC5822514	RESULTS >> Antioxidant activity of essential oil: antioxidant					
PMC5830750		Material and methods >> Plant material: E. ilicifolius	Material and methods >> Plant material:  flowers, leaves and roots	Material and methods >> Hydrodistillation method: air-dried,  flowers, leaves and roots, Hydrodistillation	Material and methods	
PMC5830750				Material and methods >> Headspace solid-phase microextraction method		
PMC5830750	Materials and Methods >> Antibacterial assay	Materials and Methods >> Plant material: E. ilicifolius	Materials and Methods >>Plant material: flowers, leaves and roots	Materials and Methods >> Hydrodistillation method, air-dried	Materials and Methods >> Plant material:  Tehran, Iran	
PMC5830750	Results >> antimicrobial	Results >> E. ilicifolius		Materials and Methods >> Headspace solid-phase microextraction method		
PMC5830750				Results >> hydrodistilled		
PMC5838999	Methods >> Antioxidant activity >>ABTS radical scavenging activity assay: antiradical activity	Methods >> Plant material and essential oil extraction :	Methods >>	Methods >>   Plant material and essential oil extraction :  flowering, hydrodistillation	Methods >> Plant material and essential oil extraction : Sousse-Tunisia	
PMC5838999	Methods >> In vitro pancreatic lipase inhibition assay >> Measurement of pancreatic lipase activity: pancreatic lipase activity					
PMC5838999	Results >> Antioxidant activity>> ABTS radical scavenging activity: ABTS-radical-scavenging activity	Results >> Chemical composition of the R. acaule essential oil :R. acaule	Results >> Chemical composition of the R. acaule essential oil : aerial part			
PMC5842484		MATERIALS AND METHODS >> Plant material and essential oil extraction: oregano	MATERIALS AND METHODS >> Plant material and essential oil extraction: aerial parts	MATERIALS AND METHODS >> Plant material and essential oil extraction: hydrodistillation	MATERIALS AND METHODS >> Plant material and essential oil extraction: Iran	
PMC5846372	Materials and Methods >>  Materials >> Preparation of Extracts >> Preparation of Herbal Teas : distilled, freeze-dried	Materials and Methods >>  Materials	Materials and Methods  >>  Materials	Materials and Methods >> Methods:	Materials and Methods >>  Materials >> Lesvos Island	
PMC5846372	Materials and Methods >>  Materials >> Preparation of Extracts >>Preparation of Methanol Extracts :					
PMC5846372	Materials and Methods >>  Materials >> Preparation of Extracts >>Preparation of Pentane Extracts					
PMC5846372	Materials and Methods >>  Materials >>  Antioxidant Properties					
PMC5846372	Materials and Methods >>  Materials >>  Antimicrobial Bioassay					
PMC5846372	Results and Discussion >> Antioxidant Properties					
PMC5846372	Results and Discussion >> Antimicrobial Bioassay					
PMC5848570						
PMC5849894		MATERIAL AND METHODS >> Material: Tetracarpidium cornophorum	MATERIAL AND METHODS >> Material: fresh walnut seeds	MATERIAL AND METHODS >> Methods>> Oil extraction >> Maceration method: dried,	MATERIAL AND METHODS >> Material :  Kumba, Southâ€West region, Cameroon	
PMC5849894				MATERIAL AND METHODS >> Methods>> Oil extraction >> Bligh and dyer method: extracted		
PMC5849899	MATERIAL AND METHOD >> Preparation of EOs	MATERIAL AND METHOD >> Preparation of EOs :  thyme, Zataria multiflora	MATERIAL AND METHOD >> Preparation of EOs:  leaves	MATERIAL AND METHOD >> Preparation of EOs: hydrodistillation		
PMC5849899	RESULTS AND DISCUSSION >>  Mold inhibitory potential of EOs in PDA medium: antimicrobial	RESULTS AND DISCUSSION >> Mold inhibitory potential of EOs in PDA medium: thyme and clove				
PMC5849928	METHODOLOGY >> Preparation and analysis of AEO:	METHODOLOGY >> Preparation and analysis of AEO:anise	METHODOLOGY >> Preparation and analysis of AEO:Seeds	METHODOLOGY >> Preparation and analysis of AEO:powdered, distilled	METHODOLOGY >> Preparation and analysis of AEO:Kashan	
PMC5849928	RESULTS AND DISCUSSION >>  Investigating the ingredients of AEO: antioxidant					
PMC5849928	RESULTS AND DISCUSSION >> Minimum inhibitory concentration of essential oil:  antibacterial activity of antimicrobial agents					
PMC5852288		Material and methods >> Material: cocoa beans ( Theobroma cacao)	Material and methods >> Material	Material and methods >> Material: fermented	Material and methods >> Material :  Mbanga, Littoral region, Cameroon	
PMC5852288		Material and methods >> Methods>> Sample preparation and processing: cocoa beans		Material and methods >> Methods>> Sample preparation and processing: electric air-dried		
PMC5852288	Material and methods >> Methods >> Effect of processing on the antioxidant activity of cocoa beans:  scavenge the DPPH radical			Material and methods >> Methods>> Sample preparation and processing >> Oil extraction >> Maceration method: dried samples,  extracted		
PMC5852288	Results and discussion >>   Effect of processing on the phenolic content and antioxidant activity of cocoa beans >> Antioxidant activity	Results and discussion	Results and discussion	Results and discussion	Results and discussion	
PMC5855832		Results >> Chemical Composition of Syzygium aromaticum Essential Oil and Argan Oil: Syzygium aromaticum				
PMC5855832	Materials and Methods >> Argan Oil:  antioxidant	Materials and Methods >> Argan Oil: virgin Argan		Materials and Methods >> Argan Oil: mechanical press extraction	Materials and Methods >> Argan Oil: Agadir city, south west of Morocco	
PMC5855832		Materials and Methods >> Essential Oil Extraction: virgin Argan		Materials and Methods >> Essential Oil Extraction >> Argan Oil: mechanical press extraction,	Materials and Methods >> Essential Oil Extraction >> Argan Oil: Agadir city, south west of Morocco	
PMC5855832				Materials and Methods >> Essential Oil Extraction: hydro-distillation		
PMC5858069	MATERIALS AND METHODS >>  Determination of minimum inhibitory concentration and minimum bactericidal concentration:			MATERIALS AND METHODS:  distillation	MATERIALS AND METHODS : Zanjan City, Iran	
PMC5858069	RESULTS : antibacterial effect					
PMC5858457		Materials and Methods >> Collection of Plant Materials: A. nilotica	Materials and Methods >> Collection of Plant Materials: plant seeds	Materials and Methods >> Collection of Plant Materials:	Materials and Methods >> Collection of Plant Materials:Tamil Nadu, India	
PMC5858457				Materials and Methods >> Hydrodistillation of Essential Oils: hydrodistillation		
PMC5859817	Materials and Methods >> Antimicrobial Activity: antimicrobial	Materials and Methods >> Collection and Preparation of  Cleistocalyx operculatus Essential Oil : Cleistocalyx operculatus	Materials and Methods >> Collection and Preparation of  Cleistocalyx operculatus Essential Oil : leaves	Materials and Methods >> Collection and Preparation of  Cleistocalyx operculatus Essential Oil : Air-dried, hydrodistillation	Materials and Methods >> Collection and Preparation of  Cleistocalyx operculatus Essential Oil : Ho Chi Minh City, Vietnam	
